,type_of_renewable_energy,installed_capacity_mw,energy_production_mwh,energy_consumption_mwh,energy_storage_capacity_mwh,storage_efficiency_percentage,grid_integration_level,initial_investment_usd,funding_sources,financial_incentives_usd,ghg_emission_reduction_tco2e,air_pollution_reduction_index,jobs_created
121,Wave,942.2237997,308105.7749,60342.37295,7660.011778,55.32741395,Partially Integrated,296955528.5,Private,3799462.211,41436.24253,54.13526581,242
122,Geothermal,947.2472534,85166.87743,6212.255721,2422.237334,91.32017521,Partially Integrated,351913820.2,Public-Private Partnership,2546276.512,4733.810359,97.0836319,551
123,Geothermal,198.6959299,30514.31252,442512.5836,8409.077301,85.9924893,Minimal Integration,243069419.2,Public-Private Partnership,16774353.45,2687.171714,74.95493078,2147
124,Tidal,881.3317744,171029.9329,232079.3692,1046.781723,65.20941417,Minimal Integration,32068168.04,Private,11500174.86,41748.56118,17.81763369,2874
125,Tidal,70.04487612,438918.6805,200616.8951,8079.387318,69.88532418,Minimal Integration,371307007.8,Private,12636072.05,6853.236011,94.15203683,3591
126,Biomass,709.094964,426387.555,337018.1076,3658.447413,70.72750052,Minimal Integration,293426648.7,Private,1677832.671,27659.90205,86.83913163,4266
127,Hydroelectric,691.4871144,282108.4719,174649.533,1725.388107,55.08414523,Fully Integrated,447908631.5,Private,6736675.551,30298.76044,91.55543375,4229
128,Solar,577.3377444,90285.956,220351.5989,2365.965835,76.47519828,Isolated Microgrid,450623002.0,Public-Private Partnership,7840516.495,2560.643804,91.83429561,605
129,Tidal,337.47713,199671.8857,120988.4638,2726.57836,77.14534142,Isolated Microgrid,342318569.9,Government,1861727.785,44576.09545,67.00981103,1730
130,Solar,547.8417223,42348.75529,3438.753337,2148.557641,60.68253567,Isolated Microgrid,211411931.4,Government,1311498.733,28095.44822,37.56073639,3105
131,Geothermal,382.5498521,497064.5863,338662.3548,1905.433749,84.34929703,Partially Integrated,183538136.4,Public-Private Partnership,9107501.479,15009.85159,70.75439336,2271
132,Wind,30.45089812,327220.9663,244523.6156,7418.320081,76.1897347,Minimal Integration,258738829.7,Public-Private Partnership,17434435.53,26401.57619,83.39505373,4913
133,Geothermal,620.8903474,241487.094,78146.22961,4986.479166,82.70898682,Partially Integrated,218550920.8,Public-Private Partnership,11217802.29,23970.80333,83.67925694,1030
134,Wave,136.5444317,469866.7899,249012.1169,3317.360836,78.13092901,Minimal Integration,299850287.9,Private,16920043.22,43879.25002,51.25755203,982
135,Geothermal,570.5766495,363320.6666,286693.0921,5932.297407,80.30676832,Fully Integrated,331590238.0,Private,4482893.6,20096.33718,10.72978194,942
136,Tidal,72.11642431,33472.88724,213031.7629,5493.970062,93.01539427,Isolated Microgrid,389638870.9,Government,5356881.526,47653.31859,59.25388603,2770
137,Biomass,786.4986745,481785.599,429922.5999,5481.556448,50.01344343,Fully Integrated,116945722.7,Private,9376096.351,3373.463768,56.61843953,1280
138,Hydroelectric,878.9833317,297813.2937,441762.8293,793.9536947,85.75842906,Fully Integrated,311765142.0,Private,19429544.72,37220.69245,25.50296361,4964
139,Biomass,187.8843832,26274.39386,278678.4713,8350.773048,57.30184306,Isolated Microgrid,230706882.9,Government,3377788.08,1897.905817,16.97815391,2819
140,Wave,578.9731323,205939.0364,805.2692276,2271.550155,84.69971861,Isolated Microgrid,34172350.17,Public-Private Partnership,19012377.4,32533.52991,24.30982745,3873
141,Solar,781.8835433,60875.42328,429689.7253,603.6508254,97.24413472,Fully Integrated,324987070.1,Public-Private Partnership,7901595.556,48149.12792,9.255765306,3848
142,Tidal,307.3842935,449644.4874,69738.06976,6868.553319,95.04169916,Minimal Integration,327019094.5,Public-Private Partnership,2826590.754,12768.08114,99.58889504,2175
143,Biomass,449.4302361,187350.651,269810.2665,8881.739821,97.95668975,Fully Integrated,176897631.5,Private,17000868.68,37845.48698,84.41258448,488
144,Wave,939.8881007,190189.8028,5813.563146,9539.418335,68.78207444,Isolated Microgrid,163088239.5,Public-Private Partnership,2090193.022,38564.04323,25.41819726,4683
145,Geothermal,307.1134413,255794.1281,302605.3122,6424.227805,57.10102922,Fully Integrated,499930442.7,Public-Private Partnership,17293341.25,49411.90056,91.20724751,1288
146,Hydroelectric,773.3657449,227957.6231,445309.4312,3854.327595,87.54614827,Partially Integrated,259745185.1,Private,18323915.61,39263.72356,61.56033972,334
147,Solar,576.163917,199615.0157,443123.2694,4453.077251,61.36945653,Fully Integrated,450715587.2,Public-Private Partnership,14176685.18,37413.62665,63.5987719,770
148,Solar,914.9277748,35649.25506,357990.8412,1488.554476,65.54699615,Fully Integrated,52517600.89,Public-Private Partnership,3865900.147,36539.46043,87.89420225,3707
149,Tidal,646.2159856,436368.3468,340496.5017,2913.213483,94.39081094,Fully Integrated,335017498.6,Public-Private Partnership,19403217.77,21413.37783,98.62266241,3184
150,Tidal,426.6405431,410304.743,301533.843,6207.328519,99.49081976,Minimal Integration,81054575.9,Public-Private Partnership,8515215.129,23355.24162,33.23697377,580
151,Geothermal,685.4057957,365729.4086,56350.77663,4101.853186,79.13274906,Minimal Integration,28435179.43,Public-Private Partnership,16574028.48,42488.83582,88.95905571,3764
152,Biomass,645.4765304,192070.7818,250258.7091,6176.098125,73.40910913,Partially Integrated,291619713.9,Government,13425764.27,25591.18533,6.500700975,3754
153,Solar,674.2028994,408364.1266,192016.4607,7253.197582,63.76727271,Isolated Microgrid,263561619.7,Government,7950537.295,1101.231673,74.93476491,921
154,Biomass,713.7951116,116859.7687,175109.0387,9675.093031,56.42864392,Fully Integrated,239868182.9,Public-Private Partnership,18235073.8,41965.21559,50.97360679,2470
155,Geothermal,390.943596,114530.138,233262.5787,6604.467947,89.07747526,Fully Integrated,163636800.1,Private,11871437.26,45000.23113,65.87208167,1836
156,Solar,277.4980723,278268.0691,358998.1563,8588.968204,91.77369263,Isolated Microgrid,188919755.5,Private,8167152.052,3611.671347,7.735264483,2553
157,Tidal,315.2037978,258329.176,342587.3506,9736.257593,84.34900925,Minimal Integration,451074018.4,Public-Private Partnership,17170708.84,5844.665447,64.57407746,4013
158,Hydroelectric,393.8793625,266446.8947,240950.6856,4216.377785,91.91365711,Minimal Integration,412992742.2,Public-Private Partnership,1525117.517,503.2584192,96.26076868,2041
159,Wave,385.8996148,132102.4412,187825.3224,7141.738061,51.45932638,Fully Integrated,84666488.79,Private,15116196.82,6495.979593,74.15524336,2229
160,Hydroelectric,966.2971629,19118.98015,299361.0509,3795.353232,97.19375161,Partially Integrated,280686668.9,Public-Private Partnership,16871475.97,39266.08033,26.78387561,1170
161,Wind,301.9631048,238778.2853,360391.6766,2008.160143,95.42538688,Minimal Integration,422831938.2,Government,16341942.37,20542.77917,29.12492508,3758
162,Solar,393.6980806,142727.2499,267069.0821,4114.875697,72.95836925,Isolated Microgrid,255057609.6,Government,8267420.5,41444.3218,26.82121291,1547
163,Solar,208.2593983,400019.8292,152375.798,8853.068909,96.72857669,Fully Integrated,9408360.027,Government,17877046.24,45058.78937,28.03523715,319
164,Wind,722.3713425,485174.6996,351253.533,1281.017242,79.76171894,Partially Integrated,459126172.4,Government,2808657.384,13415.26432,48.45808109,2768
165,Geothermal,479.8378074,12944.7647,397942.0856,4580.17467,94.62533488,Partially Integrated,209843209.3,Government,16286002.5,44720.69593,73.14742717,2382
166,Hydroelectric,534.1869266,271001.2175,34684.56288,4213.296366,72.24066022,Partially Integrated,10227819.36,Government,3944830.693,21582.34586,4.748212671,4809
167,Hydroelectric,437.0291943,421309.2257,5739.784795,2167.408511,83.62146379,Minimal Integration,70100442.05,Public-Private Partnership,5773329.525,18644.9235,64.12052009,4760
168,Tidal,454.4803801,296844.4713,318670.3178,4555.833624,80.39717515,Partially Integrated,248071132.1,Public-Private Partnership,11229445.62,27265.12985,67.7540207,1029
169,Biomass,500.765668,63591.44016,411586.1527,1839.146918,56.10692493,Fully Integrated,8426925.495,Government,2104623.654,43027.11347,19.71932926,2767
170,Wave,927.430061,483455.2689,61535.31603,9008.002987,74.08228141,Fully Integrated,450932642.7,Private,2554020.998,42471.4271,15.46906048,682
171,Geothermal,298.1526218,254112.9224,37589.31782,8558.88566,82.80830697,Fully Integrated,339797591.1,Private,11123377.86,3576.363168,10.96606871,675
172,Wave,234.3402015,145237.7298,249289.6974,2204.520391,78.36561202,Partially Integrated,161571643.3,Public-Private Partnership,3621265.339,21440.82676,51.96682604,3121
173,Geothermal,304.5871202,105054.8627,192836.8584,4728.74245,72.17929199,Fully Integrated,141515558.4,Government,7571808.935,10666.3368,90.50806769,3895
174,Biomass,889.861526,300481.6459,116145.0869,2807.590344,88.33838106,Minimal Integration,319557050.0,Government,1387515.209,46870.39489,6.238179531,2885
175,Wind,460.5441872,493714.044,295996.907,2501.773475,84.45304212,Partially Integrated,72017041.66,Government,3172668.064,41952.60653,37.96381951,1256
176,Tidal,67.73421849,211710.408,120389.0174,6726.605113,72.18835954,Minimal Integration,147474604.3,Government,680646.0777,27274.89746,17.28019929,3142
